               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.026063,            0.058213,                   0,             0.77918,             0.63506,             0.70606,             0.41459,            0.040329,            0.097542,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.024722,            0.053466,                   0,                0.78,             0.63022,             0.69403,             0.40706,            0.041114,              0.1047,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.024659,            0.051827,                   0,             0.77839,             0.63118,             0.69195,             0.40703,             0.04153,             0.10833,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.024241,            0.051921,                   0,             0.75912,             0.63407,             0.68853,             0.40433,            0.041547,              0.1096,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.024295,            0.051808,                   0,             0.76164,             0.63311,             0.69578,             0.40811,            0.041375,             0.10875,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.024255,            0.051996,                   0,             0.75895,             0.64678,             0.69948,             0.40795,            0.041207,             0.10944,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.024776,            0.054907,                   0,             0.75591,             0.64201,             0.69525,               0.408,            0.041011,             0.10488,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.024674,            0.053478,                   0,             0.76964,             0.64826,             0.70347,             0.41142,             0.04122,             0.10422,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.024489,             0.05326,                   0,             0.77979,             0.63099,              0.6941,             0.40941,            0.041077,             0.10578,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.025899,            0.059057,                   0,               0.769,             0.63985,             0.70828,             0.41643,            0.040235,            0.096644,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.025678,            0.059172,                   0,             0.76628,             0.64524,             0.71138,             0.41873,            0.039946,            0.098033,                   0,            0.005776,            0.005776,            0.005776
                  66,              0.0255,            0.058567,                   0,             0.75364,             0.65539,             0.70581,             0.41381,            0.040284,            0.098599,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.025356,            0.057768,                   0,             0.77673,             0.64485,             0.70793,             0.41565,            0.040255,            0.098637,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.025199,            0.056713,                   0,             0.77558,             0.64158,             0.70663,             0.41292,             0.04048,             0.09981,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.023532,            0.050884,                   0,             0.78357,             0.62579,              0.6973,             0.41092,            0.041168,             0.11041,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.023446,            0.049047,                   0,             0.75759,              0.6462,             0.69361,             0.41004,            0.041286,             0.11141,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.023035,            0.049164,                   0,             0.75894,             0.64581,             0.69287,             0.41159,            0.041348,             0.11006,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.023121,            0.049037,                   0,              0.7609,             0.63965,             0.69614,             0.41184,            0.041402,             0.11167,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.022911,            0.048838,                   0,             0.79035,             0.62271,              0.6998,             0.41487,            0.041372,             0.11316,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.023329,            0.050633,                   0,             0.77142,             0.64055,             0.69826,             0.41208,             0.04105,             0.10996,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.023263,            0.049475,                   0,              0.7691,             0.63965,             0.69675,             0.40994,            0.041315,             0.10945,                   0,            0.005116,            0.005116,            0.005116
                  76,             0.02311,            0.049249,                   0,             0.78687,             0.62612,              0.6983,             0.41205,            0.041368,             0.11051,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.023976,            0.052993,                   0,             0.77992,             0.63032,             0.70217,             0.41482,            0.041057,              0.1054,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.023894,            0.053383,                   0,             0.78414,             0.63195,             0.70223,               0.416,            0.040811,             0.10686,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.023735,             0.05309,                   0,             0.76465,             0.64774,              0.6999,             0.41196,            0.040866,             0.10674,                   0,            0.004852,            0.004852,            0.004852
                  80,             0.02371,             0.05247,                   0,             0.78884,              0.6358,              0.7038,              0.4147,            0.040907,             0.10731,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.022477,            0.047666,                   0,             0.77845,             0.62429,             0.69425,             0.41121,            0.041428,             0.11427,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.022315,            0.045858,                   0,             0.79314,             0.61996,             0.68891,             0.40838,            0.041754,             0.11702,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.021985,            0.045907,                   0,             0.77858,             0.63773,             0.69162,             0.41149,            0.041569,             0.11731,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.022051,            0.045871,                   0,              0.7653,             0.64464,              0.6955,             0.41285,            0.041453,             0.11742,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.021999,            0.046016,                   0,             0.77892,             0.63138,             0.69441,             0.41459,            0.041414,             0.11712,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.022274,            0.047134,                   0,             0.77736,             0.63696,             0.70145,             0.41568,            0.041253,             0.11564,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.022131,            0.045897,                   0,             0.77204,             0.63734,             0.69626,             0.41322,            0.041525,             0.11581,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.022024,            0.045762,                   0,              0.7815,             0.63041,             0.69457,             0.41414,            0.041436,             0.11639,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.022708,            0.048794,                   0,             0.77906,             0.63908,             0.70101,             0.41486,            0.041331,             0.11193,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.022594,            0.049212,                   0,             0.79326,             0.63176,             0.70103,             0.41488,            0.041263,             0.11298,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.022444,            0.048909,                   0,             0.78723,             0.63528,             0.69735,             0.41415,            0.041161,             0.11238,                   0,             0.00406,             0.00406,             0.00406
                  92,             0.02252,            0.048539,                   0,             0.78997,             0.63272,             0.70133,             0.41631,            0.041176,             0.11354,                   0,            0.003994,            0.003994,            0.003994
                  93,             0.02142,            0.044201,                   0,             0.77552,             0.63369,             0.69401,             0.41373,            0.041641,             0.11999,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.021335,            0.042901,                   0,             0.77509,             0.63022,             0.69271,             0.41223,            0.041897,             0.12121,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.021045,            0.042966,                   0,             0.78099,             0.62541,             0.69129,             0.41333,            0.041804,              0.1207,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.021214,             0.04304,                   0,             0.79083,             0.62516,              0.6948,             0.41583,            0.041734,              0.1214,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.021172,            0.043257,                   0,             0.77636,             0.63638,             0.69827,             0.41697,            0.041635,              0.1213,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.021355,            0.043819,                   0,             0.76991,             0.63897,             0.69863,             0.41634,            0.041518,             0.12108,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.020653,            0.041239,                   0,             0.73988,             0.64881,             0.69429,             0.41598,            0.041677,             0.12376,                   0,            0.003532,            0.003532,            0.003532
                 100,             0.02037,            0.038989,                   0,             0.77034,             0.62733,             0.69219,             0.41406,            0.041984,             0.12531,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.020085,            0.038869,                   0,             0.77445,             0.63318,             0.69235,             0.41422,            0.042059,             0.12736,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.020253,            0.039148,                   0,             0.77826,             0.62676,             0.69232,              0.4135,            0.041983,             0.12771,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.020202,            0.039388,                   0,             0.78723,             0.62483,             0.69563,             0.41568,            0.042018,              0.1282,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.020397,            0.039807,                   0,             0.78079,             0.62387,             0.69451,              0.4156,            0.041972,             0.12824,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.019776,            0.037635,                   0,             0.76549,             0.63927,             0.69476,             0.41606,            0.042017,             0.12995,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.019661,            0.036215,                   0,             0.77478,             0.63157,             0.69276,             0.41537,             0.04226,             0.13155,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.019417,            0.036215,                   0,              0.7623,             0.63734,              0.6907,             0.41362,            0.042346,             0.13249,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.019554,            0.036523,                   0,             0.76721,             0.63811,             0.69328,             0.41438,            0.042338,             0.13343,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.019112,            0.035044,                   0,             0.77157,             0.62939,             0.69156,             0.41454,              0.0424,             0.13406,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.017912,            0.030055,                   0,             0.76302,             0.63215,             0.68958,             0.41398,            0.042672,             0.13855,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.018983,            0.033657,                   0,             0.76107,             0.63708,             0.69067,             0.41288,            0.042739,              0.1378,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.018698,            0.033517,                   0,             0.76347,             0.63484,             0.68907,             0.41293,            0.042748,             0.13865,                   0,            0.002674,            0.002674,            0.002674
