                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2573,                0.77712,                 1.0965,                0.81301,                0.70058,                0.79031,                 0.4897,                 1.2804,                0.86151,                 1.0549,                0.00703,                0.00703,                0.00703
                     47,                 1.2642,                0.77805,                 1.0963,                0.80808,                0.70888,                0.79305,                0.49182,                 1.2784,                 1.0803,                 1.0606,               0.006964,               0.006964,               0.006964
                     48,                 1.2548,                0.77202,                 1.0906,                0.79781,                0.71048,                0.79126,                0.49384,                 1.2701,                 1.1727,                 1.0477,               0.006898,               0.006898,               0.006898
                     49,                 1.2474,                0.76945,                 1.0914,                 0.8079,                0.70249,                0.79021,                0.49267,                  1.298,                  1.505,                 1.0676,               0.006832,               0.006832,               0.006832
                     50,                 1.2471,                0.76489,                 1.0869,                0.83002,                0.68908,                0.79226,                0.49331,                 1.2793,                0.93381,                 1.0573,               0.006766,               0.006766,               0.006766
                     51,                 1.2442,                 0.7578,                 1.0862,                0.81898,                0.70734,                0.79896,                0.49792,                 1.2663,                0.91502,                 1.0495,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.2441,                0.76094,                 1.0858,                0.81714,                0.70121,                0.79806,                 0.5017,                 1.2629,                 1.0367,                 1.0482,               0.006634,               0.006634,               0.006634
                     53,                 1.2405,                0.75633,                  1.083,                0.81632,                0.70262,                0.79684,                0.49881,                 1.2604,                 1.2274,                 1.0454,               0.006568,               0.006568,               0.006568
                     54,                 1.2247,                0.74324,                 1.0776,                0.80746,                0.71325,                0.79878,                0.50163,                 1.2476,                 1.2732,                 1.0414,               0.006502,               0.006502,               0.006502
                     55,                 1.2251,                0.74501,                 1.0772,                0.81485,                0.70984,                0.79804,                0.49993,                 1.2544,                 1.2723,                 1.0467,               0.006436,               0.006436,               0.006436
                     56,                  1.217,                0.74128,                 1.0775,                0.82877,                0.69914,                0.79804,                 0.5047,                 1.2457,                0.87819,                 1.0437,                0.00637,                0.00637,                0.00637
                     57,                 1.2179,                0.73676,                 1.0737,                0.81855,                0.70888,                0.79982,                 0.5022,                 1.2631,                 1.3913,                 1.0508,               0.006304,               0.006304,               0.006304
                     58,                 1.2117,                0.73193,                   1.07,                0.81299,                0.70394,                0.79366,                  0.499,                 1.2436,                 1.0329,                 1.0473,               0.006238,               0.006238,               0.006238
                     59,                 1.2098,                0.73251,                 1.0696,                 0.8256,                0.70297,                0.79459,                0.49965,                 1.2598,                 2.3093,                 1.0523,               0.006172,               0.006172,               0.006172
                     60,                 1.2103,                0.73003,                 1.0716,                0.82612,                0.70856,                 0.7996,                0.50431,                 1.2527,                0.90531,                 1.0461,               0.006106,               0.006106,               0.006106
                     61,                 1.2021,                0.72474,                 1.0701,                 0.8236,                0.70856,                0.80147,                0.50894,                 1.2402,                0.93469,                 1.0392,                0.00604,                0.00604,                0.00604
                     62,                 1.1966,                0.71987,                 1.0628,                 0.8393,                0.70377,                0.80188,                0.50668,                 1.2405,                 1.1906,                 1.0439,               0.005974,               0.005974,               0.005974
                     63,                 1.1989,                0.72105,                 1.0663,                0.82693,                0.71192,                0.80399,                0.51026,                 1.2417,                 1.0575,                 1.0441,               0.005908,               0.005908,               0.005908
                     64,                 1.1957,                0.71714,                 1.0613,                 0.8323,                0.70221,                0.79873,                0.50794,                 1.2265,                0.90138,                 1.0356,               0.005842,               0.005842,               0.005842
                     65,                 1.1887,                0.71697,                 1.0603,                0.82911,                0.71351,                0.80287,                0.50787,                  1.228,                 1.2562,                 1.0423,               0.005776,               0.005776,               0.005776
                     66,                 1.1828,                 0.7109,                 1.0597,                0.81991,                0.71324,                0.80005,                0.50767,                 1.2384,                  1.241,                 1.0432,                0.00571,                0.00571,                0.00571
                     67,                 1.1808,                0.70474,                 1.0568,                0.83127,                  0.712,                0.80759,                0.51304,                 1.2365,                0.88618,                 1.0415,               0.005644,               0.005644,               0.005644
                     68,                 1.1825,                0.70757,                 1.0561,                0.81458,                 0.7205,                0.80486,                0.50973,                 1.2304,                 1.0127,                 1.0453,               0.005578,               0.005578,               0.005578
                     69,                 1.1811,                0.69974,                 1.0559,                0.82502,                0.71463,                0.80266,                0.51171,                 1.2293,                 1.0152,                 1.0412,               0.005512,               0.005512,               0.005512
                     70,                 1.1691,                0.69669,                 1.0518,                0.83195,                0.70756,                0.80351,                0.51152,                 1.2238,                0.92961,                 1.0407,               0.005446,               0.005446,               0.005446
                     71,                 1.1671,                0.69198,                   1.05,                 0.8121,                0.72517,                0.80319,                0.51298,                 1.2202,                 1.0273,                 1.0416,                0.00538,                0.00538,                0.00538
                     72,                 1.1654,                0.69364,                  1.052,                0.82584,                0.71787,                0.80578,                0.51467,                 1.2164,                 1.0727,                  1.039,               0.005314,               0.005314,               0.005314
                     73,                 1.1522,                0.68617,                 1.0463,                0.83068,                0.72006,                0.80532,                0.51679,                 1.2181,                 1.2572,                 1.0403,               0.005248,               0.005248,               0.005248
                     74,                 1.1635,                0.68871,                 1.0468,                0.83061,                0.72086,                0.80583,                0.51495,                 1.2325,                0.79974,                 1.0481,               0.005182,               0.005182,               0.005182
                     75,                  1.153,                0.68378,                 1.0463,                0.84772,                0.70672,                0.80627,                 0.5141,                 1.2193,                0.78129,                 1.0429,               0.005116,               0.005116,               0.005116
                     76,                 1.1569,                0.68492,                 1.0441,                0.83045,                0.71569,                0.80459,                0.51645,                 1.2149,                 1.0772,                 1.0405,                0.00505,                0.00505,                0.00505
                     77,                 1.1466,                0.67913,                 1.0403,                0.82425,                0.71976,                0.80548,                0.51805,                 1.2125,                0.84375,                 1.0365,               0.004984,               0.004984,               0.004984
                     78,                 1.1454,                0.67441,                 1.0407,                0.83122,                0.72593,                0.80879,                0.51688,                 1.2146,                   1.02,                  1.039,               0.004918,               0.004918,               0.004918
                     79,                 1.1451,                0.68027,                  1.045,                0.83849,                0.70984,                0.80542,                0.51503,                 1.2116,                 1.2656,                 1.0362,               0.004852,               0.004852,               0.004852
                     80,                 1.1399,                0.67636,                 1.0417,                0.82982,                0.71926,                0.80515,                0.51759,                 1.2041,                0.93574,                 1.0342,               0.004786,               0.004786,               0.004786
                     81,                 1.1412,                0.67201,                 1.0408,                0.83156,                0.72038,                0.80759,                0.51918,                 1.2098,                0.82451,                  1.036,                0.00472,                0.00472,                0.00472
                     82,                 1.1327,                0.67005,                 1.0387,                0.83024,                0.72645,                 0.8093,                 0.5199,                 1.2133,                0.77019,                 1.0373,               0.004654,               0.004654,               0.004654
                     83,                 1.1326,                0.67003,                 1.0357,                0.82948,                0.72089,                0.80632,                0.51865,                 1.2133,                0.88033,                 1.0402,               0.004588,               0.004588,               0.004588
                     84,                 1.1325,                0.66801,                 1.0368,                0.83775,                0.71323,                0.80559,                0.51961,                 1.2124,                0.77963,                 1.0405,               0.004522,               0.004522,               0.004522
                     85,                 1.1302,                0.66659,                 1.0328,                0.83508,                0.71483,                0.80612,                0.51977,                 1.2087,                0.83155,                  1.039,               0.004456,               0.004456,               0.004456
                     86,                 1.1286,                0.66347,                  1.034,                0.83418,                0.72325,                0.80909,                 0.5219,                 1.2088,                0.91696,                 1.0385,                0.00439,                0.00439,                0.00439
                     87,                 1.1231,                0.65867,                 1.0327,                0.83145,                0.72357,                0.81019,                0.52178,                 1.2052,                0.85686,                 1.0369,               0.004324,               0.004324,               0.004324
                     88,                 1.1015,                0.64461,                 1.0237,                0.84089,                0.72229,                0.81028,                0.52192,                 1.2051,                0.88762,                  1.039,               0.004258,               0.004258,               0.004258
                     89,                 1.1089,                 0.6481,                 1.0227,                0.85326,                0.71319,                0.81115,                0.52244,                 1.1996,                0.81963,                 1.0355,               0.004192,               0.004192,               0.004192
                     90,                 1.1132,                0.64874,                 1.0266,                0.83739,                0.72134,                0.81082,                0.52082,                 1.2029,                0.82838,                 1.0378,               0.004126,               0.004126,               0.004126
                     91,                 1.1055,                0.64607,                 1.0246,                0.83798,                0.72086,                0.81022,                0.52156,                  1.202,                0.82238,                 1.0364,                0.00406,                0.00406,                0.00406
                     92,                 1.1005,                0.64115,                 1.0228,                0.82562,                0.72813,                0.80838,                0.52289,                 1.1977,                0.86663,                 1.0355,               0.003994,               0.003994,               0.003994
                     93,                 1.0996,                0.64096,                 1.0219,                0.82854,                0.72948,                0.80949,                0.52359,                 1.1941,                0.86861,                 1.0345,               0.003928,               0.003928,               0.003928
                     94,                 1.1032,                0.64177,                 1.0218,                0.82331,                0.73379,                0.80904,                0.52257,                 1.1975,                0.85765,                 1.0356,               0.003862,               0.003862,               0.003862
                     95,                 1.0956,                0.63879,                 1.0199,                0.84842,                0.71463,                0.80966,                0.52354,                  1.198,                0.81667,                 1.0351,               0.003796,               0.003796,               0.003796
                     96,                 1.0934,                0.63657,                  1.018,                0.83215,                0.72679,                0.81014,                0.52398,                 1.1999,                0.90778,                 1.0359,                0.00373,                0.00373,                0.00373
                     97,                 1.0865,                0.63197,                 1.0159,                0.83701,                0.72373,                0.81106,                 0.5238,                 1.1995,                 1.0548,                 1.0363,               0.003664,               0.003664,               0.003664
                     98,                  1.093,                0.63484,                 1.0155,                0.85156,                0.71543,                 0.8116,                0.52407,                 1.1946,                 1.0339,                 1.0351,               0.003598,               0.003598,               0.003598
                     99,                 1.0875,                0.63242,                  1.016,                0.84573,                0.72245,                0.81188,                0.52405,                   1.19,                 1.0362,                 1.0349,               0.003532,               0.003532,               0.003532
                    100,                 1.0846,                0.63044,                  1.015,                0.83948,                 0.7316,                0.81415,                0.52504,                 1.1871,                0.90807,                 1.0322,               0.003466,               0.003466,               0.003466
                    101,                 1.0796,                0.62565,                 1.0141,                0.84578,                0.72453,                0.81229,                0.52521,                 1.1893,                0.89456,                 1.0351,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.0788,                0.62508,                 1.0116,                0.84413,                0.72501,                 0.8124,                0.52454,                 1.1904,                0.90226,                 1.0359,               0.003334,               0.003334,               0.003334
                    103,                 1.0778,                0.62563,                 1.0117,                0.84306,                0.72517,                0.81169,                0.52424,                 1.1904,                0.87394,                 1.0343,               0.003268,               0.003268,               0.003268
                    104,                 1.0734,                0.62645,                 1.0113,                0.84567,                0.72118,                0.81072,                0.52467,                 1.1908,                0.85687,                 1.0368,               0.003202,               0.003202,               0.003202
                    105,                 1.0651,                0.61622,                 1.0046,                0.84132,                0.72394,                 0.8102,                0.52538,                 1.1933,                0.94079,                 1.0387,               0.003136,               0.003136,               0.003136
                    106,                 1.0637,                0.61589,                 1.0072,                0.83815,                0.72756,                0.81029,                0.52465,                 1.1948,                0.91019,                 1.0401,                0.00307,                0.00307,                0.00307
                    107,                 1.0622,                0.61635,                 1.0078,                0.83767,                0.72948,                0.81071,                0.52448,                 1.1907,                0.87613,                 1.0377,               0.003004,               0.003004,               0.003004
                    108,                 1.0562,                0.61195,                 1.0059,                0.83529,                0.73235,                0.81021,                0.52427,                 1.1908,                0.90838,                 1.0385,               0.002938,               0.002938,               0.002938
